BookID,RecommendedBookID,similarity
11,11,1.00000
11,5,0.98696
11,67,0.98472
11,38,0.97322
11,40,0.97156
11,33,0.96466
11,144,0.96345
11,169,0.95723
11,19,0.95679
11,51,0.95553
10,10,1.00000
10,141,0.99761
10,32,0.99674
10,15,0.99674
10,56,0.99519
10,46,0.99497
10,45,0.99446
10,37,0.99441
10,44,0.99396
10,30,0.99353
36,36,1.00000
36,28,0.99849
36,6,0.99795
36,57,0.99784
36,101,0.99767
36,156,0.99754
36,58,0.99649
36,218,0.99641
36,82,0.99582
36,115,0.99562
119,119,1.00000
119,299,0.99187
119,240,0.98422
119,220,0.97868
119,173,0.97635
119,106,0.97438
119,107,0.97354
119,72,0.97345
119,456,0.97254
119,136,0.97134
13,42,0.99865
13,9,0.99864
13,7,0.99828
13,47,0.99809
13,3,0.99751
13,12,0.99730
13,14,0.99719
13,4,0.99651
13,18,0.99645
2002,2002,1.00000
2002,1687,0.99380
2002,2233,0.98985
2002,3256,0.98778
2002,2537,0.98761
2002,2898,0.98554
2002,3372,0.98364
2002,2036,0.98344
2002,2998,0.98314
2002,1523,0.98115
67,5,0.99076
67,11,0.98472
67,105,0.97768
67,100,0.97580
67,184,0.97320
67,33,0.97162
67,29,0.96881
67,38,0.96727
67,237,0.96509
378,378,1.00000
378,341,0.97014
378,462,0.96421
378,553,0.95298
378,138,0.95183
378,104,0.94566
378,243,0.94272
378,472,0.94114
378,98,0.93615
378,439,0.93610
98,98,1.00000
98,95,0.99738
98,711,0.95696
98,553,0.94811
98,863,0.94744
98,104,0.94704
98,462,0.93728
98,378,0.93615
98,1025,0.93319
98,155,0.93149
5191,5191,1.00000
5191,3540,0.98991
5191,3242,0.98960
5191,5316,0.97360
5191,5309,0.97084
5191,2692,0.96710
5191,2240,0.96628
5191,4180,0.96522
5191,5331,0.96428
5191,5590,0.96254
231,231,1.00000
231,348,0.97065
231,552,0.96306
231,692,0.96304
231,659,0.96189
231,555,0.95822
231,487,0.95412
231,304,0.95365
231,574,0.95298
231,242,0.95222
